2021-11-26 13:05:29.389 ERROR 20916 --- [restartedMain] o.s.b.c.l.LoggingApplicationListener     : Cannot set level '=debu' for 'org.springframework.web'
2021-11-26 13:05:35.273  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.class.path
2021-11-26 13:05:35.273  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : com.sun.management.jmxremote.authenticate
2021-11-26 13:05:35.273  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.vendor
2021-11-26 13:05:35.273  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.arch.data.model
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.variant
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vendor.url
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : catalina.useNaming
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.timezone
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.specification.version
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : os.name
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.java.launcher
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.country
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.boot.library.path
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : com.sun.management.jmxremote.ssl
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.application.admin.enabled
2021-11-26 13:05:35.274  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.java.command
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : com.sun.management.jmxremote
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : jdk.debug
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.liveBeansView.mbeanDomain
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.cpu.endian
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.boot.project.name
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.home
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.language
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.specification.vendor
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.version.date
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.home
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : file.separator
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.compressedOopsMode
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : line.separator
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.specification.vendor
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.specification.name
2021-11-26 13:05:35.275  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.awt.headless
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.script
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.management.compiler
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.runtime.version
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.name
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.jmx.enabled
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : path.separator
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : os.version
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.runtime.name
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : file.encoding
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.beaninfo.ignore
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.name
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : LOG_FILE
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vendor.url.bug
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.io.tmpdir
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : catalina.home
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : com.zaxxer.hikari.pool_number
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : com.sun.management.jmxremote.port
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.version
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : user.dir
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : os.arch
2021-11-26 13:05:35.276  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.specification.name
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PID
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.os.patch.level
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : catalina.base
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.library.path
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.info
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vendor
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.vm.version
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.rmi.server.hostname
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.rmi.server.randomIDs
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : sun.io.unicode.encoding
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.class.version
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : USERDOMAIN_ROAMINGPROFILE
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PROCESSOR_LEVEL
